Comments,OrigFullComment,Type,Class,Year,Quarter,NewCleanComment,OriginalC,Topics,SubTopics,Sentiment
"many students overall were struggling with the writing, resulting in students constantly having to turn to tas for help on what to do for the lab report since the professor refused to provide any indepth help other than telling us to talk to our tas.","  Grading rubric for the lab report was very vague for both the students and the TAs. It is understandable that the whole point for the vague rubrics was to provide the minimum of what we needed for each section while figuring out how we should write it, but the vagueness still left several students not knowing what to include for certain sections and struggling on how to organize their thoughts. Many students overall were struggling with the writing, resulting in students constantly having to turn to TAs for help on what to do for the lab report since the professor refused to provide any indepth help other than telling us to talk to our TAs. I learned more about scientific writing from my TA than the actual instructor.",Other Comments,M116L,2022,Spring,"grading rubric for the lab report was very vague for both the students and the tas. it is understandable that the whole point for the vague rubrics was to provide the minimum of what we needed for each section while figuring out how we should write it, but the vagueness still left several students not knowing what to include for certain sections and struggling on how to organize their thoughts. many students overall were struggling with the writing, resulting in students constantly having to turn to tas for help on what to do for the lab report since the professor refused to provide any indepth help other than telling us to talk to our tas. i learned more about scientific writing from my ta than the actual instructor.","many students overall were struggling with the writing, resulting in students constantly having to turn to tas for help on what to do for the lab report since the professor refused to provide any indepth help other than telling us to talk to our tas.",learn_like_work,learn_help_professor,negative
a lot of things felt like tricks and no matter how hard my group worked we always seemed to do badly on the quizzes despite doing all the work.,"This course was really hard not because of the material but because of the ""critical thinking"" the quizzes required. A lot of things felt like tricks and no matter how hard my group worked we always seemed to do badly on the quizzes despite doing all the work.",Other Comments,M116L,2022,Spring,this course was really hard not because of the material but because of the critical thinking the quizzes required. a lot of things felt like tricks and no matter how hard my group worked we always seemed to do badly on the quizzes despite doing all the work.,a lot of things felt like tricks and no matter how hard my group worked we always seemed to do badly on the quizzes despite doing all the work.,learn_like_work,work_feel_group,negative
this course taught me to think outside of the box and i would recommend it to other students.,This course taught me to think outside of the box and I would recommend it to other students.,Other Comments,M116L,2022,Spring,this course taught me to think outside of the box and i would recommend it to other students.,this course taught me to think outside of the box and i would recommend it to other students.,learn_like_work,learn_help_professor,positive
"-felt like i already knew a lot of the content of this course from my previous courses Profandadale is a pretty nice guy honestly, i just wish his class wasn't so hard.","-felt like I already knew a lot of the content of this course from my previous courses Dr. Kandadale is a pretty nice guy honestly, I just wish his class wasn't so hard.",Other Comments,M116L,2022,Spring,"-felt like i already knew a lot of the content of this course from my previous courses Profandadale is a pretty nice guy honestly, i just wish his class wasn't so hard.","-felt like i already knew a lot of the content of this course from my previous courses Profandadale is a pretty nice guy honestly, i just wish his class wasn't so hard.",learn_like_work,like_lot_time,positive
"every time when i feel like i'm prepared, the quiz hit me like i didn't study : ( i like how the quizzes force us to critically think and encourages teamwork.","Least favorite class at UCI. Literally killed my spirit and made me hate biology. Please find a way to set up the lab lecture to start later than 8AM, if possible. Every time when I feel like I'm prepared, the quiz hit me like I didn't study :( I like how the quizzes force us to critically think and encourages teamwork.",Other Comments,M116L,2022,Spring,"least favorite class at uci. literally killed my spirit and made me hate biology. please find a way to set up the lab lecture to start later than eightam, if possible. every time when i feel like i'm prepared, the quiz hit me like i didn't study : ( i like how the quizzes force us to critically think and encourages teamwork.","every time when i feel like i'm prepared, the quiz hit me like i didn't study : ( i like how the quizzes force us to critically think and encourages teamwork.",learn_like_work,quiz_like_difficult,positive
maybe change the time of the class :') even nine am would be better hahaha.,Maybe change the time of the class :') even 9 am would be better hahaha.,Other Comments,M116L,2022,Spring,maybe change the time of the class :') even nine am would be better hahaha.,maybe change the time of the class :') even nine am would be better hahaha.,learn_like_work,time_talk_little,positive
best at understanding problems and explaining them in the simplest terms to students.,Best at understanding problems and explaining them in the simplest terms to students. Able to deliver effective teaching mechanisms and critical thinking. Creates a tremendously interactive environment. Can carry on experiments in a teaching grounds and unafraid to make mistakes and admit to them. Earn huge respects and appreciation from students.,Strength,M116L,2019,Spring,best at understanding problems and explaining them in the simplest terms to students. able to deliver effective teaching mechanisms and critical thinking. creates a tremendously interactive environment. can carry on experiments in a teaching grounds and unafraid to make mistakes and admit to them. earn huge respects and appreciation from students.,best at understanding problems and explaining them in the simplest terms to students.,learn_like_work,explain_concept_understand,neutral
the reading assignment helped a lot.,Dr. Prof always encourages critical thinking and group work. The reading assignment helped a lot.,Strength,M116L,2019,Spring,Doctor Prof always encourages critical thinking and group work. the reading assignment helped a lot.,the reading assignment helped a lot.,learn_like_work,learn_help_professor,positive
although challenging his quizzes really forced me to change the way i think which i appreciate.,Dr. Prof does a great job at getting his student to interact and engage in class. Although challenging his quizzes really forced me to change the way I think which I appreciate.,Strength,M116L,2019,Spring,Doctor Prof does a great job at getting his student to interact and engage in class. although challenging his quizzes really forced me to change the way i think which i appreciate.,although challenging his quizzes really forced me to change the way i think which i appreciate.,learn_like_work,quiz_like_difficult,positive
"he’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments.","Dr. Prof is one of the best professors that I have had at UCI. He is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. He aims to ensure that all students truly understand the material and they aren’t simply memorizing it. He’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. When I was a second year, many upperclassmen scared me out of taking Dr. K’s Biochemistry class because he was hard and had really high expectations but I really regret not taking him for that class now. I hope to stay in touch with Dr. K in the future because he seems to be an amazing mentor, and I feel like there is a lot I can learn from him in terms of how to be successful in college and how to develop a career in STEM. I also really liked the group setting that he encouraged us to work in because I feel like it really improved my understanding of the material.",Strength,M116L,2019,Spring,"Doctor Prof is one of the best professors that i have had at uci. he is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. he aims to ensure that all students truly understand the material and they aren’t simply memorizing it. he’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. when i was a second year, many upperclassmen scared me out of taking Prof’s biochemistry class because he was hard and had really high expectations but i really regret not taking him for that class now. i hope to stay in touch with Prof in the future because he seems to be an amazing mentor, and i feel like there is a lot i can learn from him in terms of how to be successful in college and how to develop a career in stem. i also really liked the group setting that he encouraged us to work in because i feel like it really improved my understanding of the material.","he’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments.",learn_like_work,help_understand_need,positive
"i hope to stay in touch with Prof in the future because he seems to be an amazing mentor, and i feel like there is a lot i can learn from him in terms of how to be successful in college and how to develop a career in stem.","Dr. Prof is one of the best professors that I have had at UCI. He is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. He aims to ensure that all students truly understand the material and they aren’t simply memorizing it. He’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. When I was a second year, many upperclassmen scared me out of taking Dr. K’s Biochemistry class because he was hard and had really high expectations but I really regret not taking him for that class now. I hope to stay in touch with Dr. K in the future because he seems to be an amazing mentor, and I feel like there is a lot I can learn from him in terms of how to be successful in college and how to develop a career in STEM. I also really liked the group setting that he encouraged us to work in because I feel like it really improved my understanding of the material.",Strength,M116L,2019,Spring,"Doctor Prof is one of the best professors that i have had at uci. he is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. he aims to ensure that all students truly understand the material and they aren’t simply memorizing it. he’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. when i was a second year, many upperclassmen scared me out of taking Prof’s biochemistry class because he was hard and had really high expectations but i really regret not taking him for that class now. i hope to stay in touch with Prof in the future because he seems to be an amazing mentor, and i feel like there is a lot i can learn from him in terms of how to be successful in college and how to develop a career in stem. i also really liked the group setting that he encouraged us to work in because i feel like it really improved my understanding of the material.","i hope to stay in touch with Prof in the future because he seems to be an amazing mentor, and i feel like there is a lot i can learn from him in terms of how to be successful in college and how to develop a career in stem.",learn_like_work,like_lot_time,positive
i also really liked the group setting that he encouraged us to work in because i feel like it really improved my understanding of the material.,"Dr. Prof is one of the best professors that I have had at UCI. He is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. He aims to ensure that all students truly understand the material and they aren’t simply memorizing it. He’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. When I was a second year, many upperclassmen scared me out of taking Dr. K’s Biochemistry class because he was hard and had really high expectations but I really regret not taking him for that class now. I hope to stay in touch with Dr. K in the future because he seems to be an amazing mentor, and I feel like there is a lot I can learn from him in terms of how to be successful in college and how to develop a career in STEM. I also really liked the group setting that he encouraged us to work in because I feel like it really improved my understanding of the material.",Strength,M116L,2019,Spring,"Doctor Prof is one of the best professors that i have had at uci. he is so passionate about teaching and you can tell that he enjoys teaching and he isn’t just doing it because the university is forcing him to. he aims to ensure that all students truly understand the material and they aren’t simply memorizing it. he’s incredibly accessible and makes it clear from the start that he is there to help us be successful in not only his class, but also college and life in Other Comments. when i was a second year, many upperclassmen scared me out of taking Prof’s biochemistry class because he was hard and had really high expectations but i really regret not taking him for that class now. i hope to stay in touch with Prof in the future because he seems to be an amazing mentor, and i feel like there is a lot i can learn from him in terms of how to be successful in college and how to develop a career in stem. i also really liked the group setting that he encouraged us to work in because i feel like it really improved my understanding of the material.",i also really liked the group setting that he encouraged us to work in because i feel like it really improved my understanding of the material.,learn_like_work,work_feel_group,positive
giving out different kinds of mental tortures,Giving out different kinds of mental tortures (quizzes problem),Strength,M116L,2019,Spring,giving out different kinds of mental tortures,giving out different kinds of mental tortures,learn_like_work,way_improve_know,negative
"great at explaining concepts, taking things one step at a time.","Great at explaining concepts, taking things one step at a time. He genuinely cares about students and their learning and tries to understand their questions.",Strength,M116L,2019,Spring,"great at explaining concepts, taking things one step at a time. he genuinely cares about students and their learning and tries to understand their questions.","great at explaining concepts, taking things one step at a time. he genuinely cares about students and their learning and tries to understand their questions.",learn_like_work,explain_concept_understand,positive
great at making students try to think.,Great at making students try to think.,Strength,M116L,2019,Spring,great at making students try to think.,great at making students try to think.,learn_like_work,like_lot_time,positive
he is good at explain context in class and make the class interesting.,He is good at explain context in class and make the class interesting.,Strength,M116L,2019,Spring,he is good at explain context in class and make the class interesting.,he is good at explain context in class and make the class interesting.,learn_like_work,explain_concept_understand,positive
"he finds a way to make class engaging for the most part, and always makes sure to ask if anyone is lost in order to catch people back up to speed.","He shows great enthusiasm for the subjects that he teaches, and really challenges students to think in his class. He finds a way to make class engaging for the most part, and always makes sure to ask if anyone is lost in order to catch people back up to speed.",Strength,M116L,2019,Spring,"he shows great enthusiasm for the subjects that he teaches, and really challenges students to think in his class. he finds a way to make class engaging for the most part, and always makes sure to ask if anyone is lost in order to catch people back up to speed.","he finds a way to make class engaging for the most part, and always makes sure to ask if anyone is lost in order to catch people back up to speed.",learn_like_work,way_improve_know,positive
the difficulty of the quizzes is better for the students in the long-run and helps us to think more critically in a short amount of time.,"His explanations of the concepts are clear and he is very knowledgeable about the subject in Other Comments. He clearly wants students to do well in the course and encourages the students to present their ideas and to argue their point of view. His quizzes are extremely difficult, but he does his best to prepare us beforehand. The difficulty of the quizzes is better for the students in the long-run and helps us to think more critically in a short amount of time. im in m114 so everything i have to say i already included in my m114 evaluation",Strength,M116L,2019,Spring,"his explanations of the concepts are clear and he is very knowledgeable about the subject in Other Comments. he clearly wants students to do well in the course and encourages the students to present their ideas and to argue their point of view. his quizzes are extremely difficult, but he does his best to prepare us beforehand. the difficulty of the quizzes is better for the students in the long-run and helps us to think more critically in a short amount of time. im in mone hundred fourteen so everything i have to say i already included in my mone hundred fourteen evaluation",the difficulty of the quizzes is better for the students in the long-run and helps us to think more critically in a short amount of time.,learn_like_work,quiz_like_difficult,positive
i also like that he takes the time to thoroughly discuss paper readings.,"I really appreciate Dr. Prof’s teaching approach, challenging students to understand the concepts behind each topic. I also like that he takes the time to thoroughly discuss paper readings.",Strength,M116L,2019,Spring,"i really appreciate Doctor Prof’s teaching approach, challenging students to understand the concepts behind each topic. i also like that he takes the time to thoroughly discuss paper readings.",i also like that he takes the time to thoroughly discuss paper readings.,learn_like_work,time_talk_little,positive
he lets people raise their hands.,"I really like that he doesn’t pick on students. He lets people raise their hands. I’ve found that a lot of teaching professors pick on students, and I think it’s not conducive to a good learning environment.",Strength,M116L,2019,Spring,"i really like that he doesn’t pick on students. he lets people raise their hands. i’ve found that a lot of teaching professors pick on students, and i think it’s not conducive to a good learning environment.",he lets people raise their hands.,learn_like_work,people,neutral
really good at challenging us to think,Really good at challenging us to think,Strength,M116L,2019,Spring,really good at challenging us to think,really good at challenging us to think,learn_like_work,quiz_like_difficult,positive
teacher is able to communicate ideas to students efficiently and has a lot of energy which makes these classes a little more bearable.,Teacher is able to communicate ideas to students efficiently and has a lot of energy which makes these classes a little more bearable.,Strength,M116L,2019,Spring,teacher is able to communicate ideas to students efficiently and has a lot of energy which makes these classes a little more bearable.,teacher is able to communicate ideas to students efficiently and has a lot of energy which makes these classes a little more bearable.,learn_like_work,like_lot_time,positive
i like also enjoyed learning about the different methods of analyzing gels.,The instructor’s teaching strengths are his ability to engage students to think critically and teach them skills that are not taught in most classes. I like that the professor is concerned with teaching us how to analyze data and judge a paper without just accepting everything that is presented to us. I like also enjoyed learning about the different methods of analyzing gels.,Strength,M116L,2019,Spring,the instructor’s teaching strengths are his ability to engage students to think critically and teach them skills that are not taught in most classes. i like that the professor is concerned with teaching us how to analyze data and judge a paper without just accepting everything that is presented to us. i like also enjoyed learning about the different methods of analyzing gels.,i like also enjoyed learning about the different methods of analyzing gels.,learn_like_work,like_lot_time,positive
"very interactive, makes students think, brings a lot of outside material into class, is genuine about helping students","Very interactive, makes students think, brings a lot of outside material into class, is genuine about helping students",Strength,M116L,2019,Spring,"very interactive, makes students think, brings a lot of outside material into class, is genuine about helping students","very interactive, makes students think, brings a lot of outside material into class, is genuine about helping students",learn_like_work,learn_help_professor,positive
"as a teacher, i do not think that there are things that he can improve upon other than being a little more forgiving when it comes to grading.","As a teacher, I do not think that there are things that he can improve upon other than being a little more forgiving when it comes to grading.",Improvement,M116L,2019,Spring,"as a teacher, i do not think that there are things that he can improve upon other than being a little more forgiving when it comes to grading.","as a teacher, i do not think that there are things that he can improve upon other than being a little more forgiving when it comes to grading.",learn_like_work,way_improve_know,negative
by providing more materials for students who need more review or would like to learn more about the topic they’re studying.,"By providing more materials for students who need more review or would like to learn more about the topic they’re studying. Although this is possible for students to do on their own, it would take a considerable amount of hours for students to find reliable information which relevant to their coursework/quizzes. Especially for quizzes often it was a gap in knowledge about the topic leading to flawed steps in thinking due to lack of factual knowledge rather than critical thinking ability.",Improvement,M116L,2019,Spring,"by providing more materials for students who need more review or would like to learn more about the topic they’re studying. although this is possible for students to do on their own, it would take a considerable amount of hours for students to find reliable information which relevant to their coursework/quizzes. especially for quizzes often it was a gap in knowledge about the topic leading to flawed steps in thinking due to lack of factual knowledge rather than critical thinking ability.",by providing more materials for students who need more review or would like to learn more about the topic they’re studying.,learn_like_work,learn_help_professor,neutral
also maybe don’t start sarcastic right out of the gate for students that have simple questions i understand it’s part of your personality but there is a time and a place and a level of comfortability you should have with the person you’re being that sarcastic with so maybe just dial it down a notch or two.,Highlight the important material and don’t get caught up in the ridiculous discussions that students start in class because it makes people zone out and only focus on when they’re getting out of class. Also maybe don’t start sarcastic right out of the gate for students that have simple questions I understand it’s part of your personality but there is a time and a place and a level of comfortability you should have with the person you’re being that sarcastic with so maybe just dial it down a notch or two. This probably won’t influence how you interact with students because of how open you are on the first day of class about your sarcasm but not everybody knows its a joke/not that serious and you discourage students from going to talk to you and asking questions when you respond so strongly immediately.,Improvement,M116L,2019,Spring,highlight the important material and don’t get caught up in the ridiculous discussions that students start in class because it makes people zone out and only focus on when they’re getting out of class. also maybe don’t start sarcastic right out of the gate for students that have simple questions i understand it’s part of your personality but there is a time and a place and a level of comfortability you should have with the person you’re being that sarcastic with so maybe just dial it down a notch or two. this probably won’t influence how you interact with students because of how open you are on the first day of class about your sarcasm but not everybody knows its a joke/not that serious and you discourage students from going to talk to you and asking questions when you respond so strongly immediately.,also maybe don’t start sarcastic right out of the gate for students that have simple questions i understand it’s part of your personality but there is a time and a place and a level of comfortability you should have with the person you’re being that sarcastic with so maybe just dial it down a notch or two.,learn_like_work,like_lot_time,neutral
this probably won’t influence how you interact with students because of how open you are on the first day of class about your sarcasm but not everybody knows its a joke/not that serious and you discourage students from going to talk to you and asking questions when you respond so strongly immediately.,Highlight the important material and don’t get caught up in the ridiculous discussions that students start in class because it makes people zone out and only focus on when they’re getting out of class. Also maybe don’t start sarcastic right out of the gate for students that have simple questions I understand it’s part of your personality but there is a time and a place and a level of comfortability you should have with the person you’re being that sarcastic with so maybe just dial it down a notch or two. This probably won’t influence how you interact with students because of how open you are on the first day of class about your sarcasm but not everybody knows its a joke/not that serious and you discourage students from going to talk to you and asking questions when you respond so strongly immediately.,Improvement,M116L,2019,Spring,highlight the important material and don’t get caught up in the ridiculous discussions that students start in class because it makes people zone out and only focus on when they’re getting out of class. also maybe don’t start sarcastic right out of the gate for students that have simple questions i understand it’s part of your personality but there is a time and a place and a level of comfortability you should have with the person you’re being that sarcastic with so maybe just dial it down a notch or two. this probably won’t influence how you interact with students because of how open you are on the first day of class about your sarcasm but not everybody knows its a joke/not that serious and you discourage students from going to talk to you and asking questions when you respond so strongly immediately.,this probably won’t influence how you interact with students because of how open you are on the first day of class about your sarcasm but not everybody knows its a joke/not that serious and you discourage students from going to talk to you and asking questions when you respond so strongly immediately.,learn_like_work,talk_know,negative
"i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up.","I’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. I understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. Consider myself schooled. I should have avoided taking this course. We don’t all think the same way, and I think there are more productive ways of engaging students in this way. If it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. No matter how hard I studied for these quizzes, I failed every single one. Do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? At no point in this course did I have an idea of how well or poorly I was doing, and so for 10 weeks I just assumed that I was failing.",Improvement,M116L,2019,Spring,"i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. consider myself schooled. i should have avoided taking this course. we don’t all think the same way, and i think there are more productive ways of engaging students in this way. if it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. no matter how hard i studied for these quizzes, i failed every single one. do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? at no point in this course did i have an idea of how well or poorly i was doing, and so for ten weeks i just assumed that i was failing.","i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up.",learn_like_work,way_improve_know,negative
"i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson.","I’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. I understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. Consider myself schooled. I should have avoided taking this course. We don’t all think the same way, and I think there are more productive ways of engaging students in this way. If it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. No matter how hard I studied for these quizzes, I failed every single one. Do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? At no point in this course did I have an idea of how well or poorly I was doing, and so for 10 weeks I just assumed that I was failing.",Improvement,M116L,2019,Spring,"i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. consider myself schooled. i should have avoided taking this course. we don’t all think the same way, and i think there are more productive ways of engaging students in this way. if it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. no matter how hard i studied for these quizzes, i failed every single one. do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? at no point in this course did i have an idea of how well or poorly i was doing, and so for ten weeks i just assumed that i was failing.","i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson.",learn_like_work,learn_help_professor,negative
consider myself schooled.,"I’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. I understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. Consider myself schooled. I should have avoided taking this course. We don’t all think the same way, and I think there are more productive ways of engaging students in this way. If it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. No matter how hard I studied for these quizzes, I failed every single one. Do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? At no point in this course did I have an idea of how well or poorly I was doing, and so for 10 weeks I just assumed that I was failing.",Improvement,M116L,2019,Spring,"i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. consider myself schooled. i should have avoided taking this course. we don’t all think the same way, and i think there are more productive ways of engaging students in this way. if it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. no matter how hard i studied for these quizzes, i failed every single one. do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? at no point in this course did i have an idea of how well or poorly i was doing, and so for ten weeks i just assumed that i was failing.",consider myself schooled.,learn_like_work,,neutral
"we don’t all think the same way, and i think there are more productive ways of engaging students in this way.","I’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. I understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. Consider myself schooled. I should have avoided taking this course. We don’t all think the same way, and I think there are more productive ways of engaging students in this way. If it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. No matter how hard I studied for these quizzes, I failed every single one. Do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? At no point in this course did I have an idea of how well or poorly I was doing, and so for 10 weeks I just assumed that I was failing.",Improvement,M116L,2019,Spring,"i’m at a loss for words for the way this course is structured, and my personal opinion is that it needs to be re-evaluated from the ground up. i understand that what he is trying to do is to engage and test students’ critical thinking, but it’s almost like everything we do in this course is to catch us messing up and tricking us into getting the wrong answer so that we learn a lesson. consider myself schooled. i should have avoided taking this course. we don’t all think the same way, and i think there are more productive ways of engaging students in this way. if it was just about getting students to think, it wouldn’t be all about scoring these points, but more so focused on the conversation that we have afterword. no matter how hard i studied for these quizzes, i failed every single one. do you understand how unhealthy it is to have these unnecessary stressors in our lives just take “teach” us? at no point in this course did i have an idea of how well or poorly i was doing, and so for ten weeks i just assumed that i was failing.","we don’t all think the same way, and i think there are more productive ways of engaging students in this way.",learn_like_work,way_improve_know,neutral
"even if the professor expects the students to already know them from lower division courses, and even if he doesn’t go over them in class, just providing the materials would’ve helped me a lot.","I hope more detailed study materials that are specific to the lecture quizzes on the power point slides. Even if the professor expects the students to already know them from lower division courses, and even if he doesn’t go over them in class, just providing the materials would’ve helped me a lot.",Improvement,M116L,2019,Spring,"i hope more detailed study materials that are specific to the lecture quizzes on the power point slides. even if the professor expects the students to already know them from lower division courses, and even if he doesn’t go over them in class, just providing the materials would’ve helped me a lot.","even if the professor expects the students to already know them from lower division courses, and even if he doesn’t go over them in class, just providing the materials would’ve helped me a lot.",learn_like_work,learn_help_professor,neutral
"i know that there’s no way to get it right for every student, but wordings can always be improved.","I missed some of the questions simply because I didn’t have enough knowledge of the techniques discussed. I would prefer if lecture also included a review of the logistics with each technique. Furthermore, some of the question wordings are confusing to me. I know that there’s no way to get it right for every student, but wordings can always be improved. Maybe you can send out a survey with a practice question but worded in different ways to see which one students prefer, then worded every other question similar to it in style.",Improvement,M116L,2019,Spring,"i missed some of the questions simply because i didn’t have enough knowledge of the techniques discussed. i would prefer if lecture also included a review of the logistics with each technique. furthermore, some of the question wordings are confusing to me. i know that there’s no way to get it right for every student, but wordings can always be improved. maybe you can send out a survey with a practice question but worded in different ways to see which one students prefer, then worded every other question similar to it in style.","i know that there’s no way to get it right for every student, but wordings can always be improved.",learn_like_work,way_improve_know,neutral
"it would be nice sometimes to have more guidance, but most of the time he does provide this for instance when we are going over the quiz problems in class so i like the fact that he gets us to think, but sometimes a lot of us just really do not know the answer and we do not know what direction to go in.","It would be nice sometimes to have more guidance, but most of the time he does provide this for instance when we are going over the quiz problems in class (he draws out the DNA and shows where methylation would occur and polymerase starts replicating etc) So I like the fact that he gets us to think, but sometimes a lot of us just really do not know the answer and we do not know what direction to go in. If he’d give more guidance and his two cents the class and teaching style is my preferred.",Improvement,M116L,2019,Spring,"it would be nice sometimes to have more guidance, but most of the time he does provide this for instance when we are going over the quiz problems in class so i like the fact that he gets us to think, but sometimes a lot of us just really do not know the answer and we do not know what direction to go in. if he’d give more guidance and his two cents the class and teaching style is my preferred.","it would be nice sometimes to have more guidance, but most of the time he does provide this for instance when we are going over the quiz problems in class so i like the fact that he gets us to think, but sometimes a lot of us just really do not know the answer and we do not know what direction to go in.",learn_like_work,like_lot_time,neutral
"that way, you can check more for our understanding of concepts.","More clicker questions would probably be helpful in the class! That way, you can check more for our understanding of concepts.",Improvement,M116L,2019,Spring,"more clicker questions would probably be helpful in the class! that way, you can check more for our understanding of concepts.","that way, you can check more for our understanding of concepts.",learn_like_work,explain_concept_understand,neutral
"more user friendly slides, sometimes speaks too fast and hard to follow along since most info is not of the slide","more user friendly slides, sometimes speaks too fast and hard to follow along since most info is not of the slide",Improvement,M116L,2019,Spring,"more user friendly slides, sometimes speaks too fast and hard to follow along since most info is not of the slide","more user friendly slides, sometimes speaks too fast and hard to follow along since most info is not of the slide",learn_like_work,hard,neutral
"it is hard to stay focused in a three hour long class, especially when most of the material is fairly dense.","N/A for teaching but the lecture portion of M116L was very long. It is hard to stay focused in a 3 hour long class, especially when most of the material is fairly dense.",Improvement,M116L,2019,Spring,"n/a for teaching but the lecture portion of mone hundred sixteenl was very long. it is hard to stay focused in a three hour long class, especially when most of the material is fairly dense.","it is hard to stay focused in a three hour long class, especially when most of the material is fairly dense.",learn_like_work,learn_help_professor,negative
there was a lot of ideas from the crowd that i could not hear.,One thing that was difficult to follow was going over the theory quizzes after taking them. There was a lot of ideas from the crowd that I could not hear. I think it would be helpful to write out some of the answers that were from complex questions.,Improvement,M116L,2019,Spring,one thing that was difficult to follow was going over the theory quizzes after taking them. there was a lot of ideas from the crowd that i could not hear. i think it would be helpful to write out some of the answers that were from complex questions.,there was a lot of ideas from the crowd that i could not hear.,learn_like_work,like_lot_time,negative
